seqnames	start	end	width	strand	intro_type	haplo_id
chr1	9260001	9280000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	10040001	10060000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	10180001	10200000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	10340001	10680000	340000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	10740001	10760000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	10820001	10840000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	11720001	11980000	260000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	12760001	12780000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	17900001	17980000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	18100001	18120000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	18260001	18280000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	18360001	18380000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	19980001	20000000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	20220001	20240000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	20980001	21000000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	21660001	21800000	140000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	21860001	21880000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	21960001	22080000	120000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	22220001	22340000	120000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	22440001	22580000	140000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	22720001	22760000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	22900001	22980000	80000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	23120001	23140000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	23480001	23540000	60000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	23980001	24000000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	24180001	24480000	300000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	26460001	26700000	240000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	27760001	27780000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	27840001	27880000	40000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	28140001	28160000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	28280001	28420000	140000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
chr1	28780001	28800000	20000	*	Atlantic	HWS61_Balsfjord_Atlantic_1
