seqnames	start	end	width	strand	type
chr4	19020001	19080000	60000	*	Atlantic
chr4	30120001	30140000	20000	*	Atlantic
chr6	14100001	14320000	220000	*	Atlantic
chr8	3800001	3820000	20000	*	Atlantic
chr8	6900001	6940000	40000	*	Atlantic
chr13	720001	780000	60000	*	Atlantic
chr17	14660001	14700000	40000	*	Atlantic
chr18	12560001	12580000	20000	*	Atlantic
chr19	12800001	12820000	20000	*	Atlantic
chr21	4760001	4780000	20000	*	Atlantic
chr21	13660001	13680000	20000	*	Atlantic
chr21	13740001	13800000	60000	*	Atlantic
chr23	4720001	4740000	20000	*	Atlantic
chr1	14300001	14320000	20000	*	Pacific
chr1	17400001	17460000	60000	*	Pacific
chr1	33000001	33020000	20000	*	Pacific
chr3	15600001	15640000	40000	*	Pacific
chr3	15820001	15840000	20000	*	Pacific
chr3	19220001	19260000	40000	*	Pacific
chr3	19420001	19440000	20000	*	Pacific
chr4	18040001	18060000	20000	*	Pacific
chr4	18300001	18320000	20000	*	Pacific
chr6	26600001	26620000	20000	*	Pacific
chr7	10500001	10540000	40000	*	Pacific
chr7	25800001	25820000	20000	*	Pacific
chr8	9960001	9980000	20000	*	Pacific
chr8	19340001	19360000	20000	*	Pacific
chr8	19600001	19620000	20000	*	Pacific
chr10	16320001	16340000	20000	*	Pacific
chr10	19180001	19220000	40000	*	Pacific
chr12	9220001	9280000	60000	*	Pacific
chr12	23460001	23480000	20000	*	Pacific
chr15	6120001	6140000	20000	*	Pacific
chr15	7980001	8000000	20000	*	Pacific
chr15	8060001	8080000	20000	*	Pacific
chr18	20180001	20200000	20000	*	Pacific
